歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
バイオレンストリガー,master,13.3,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 196 下中高速配置明顯，並穿插長條/滑條牽制；節奏穩定是核心。
BANG!,master,13.3,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有大量長條/滑條與 TAP 交錯，局部需要在牽制下整理手順；整體不是高速或純物量主導。
ム責任集合体,master,13.3,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與 TAP 交錯多，視認與手順牽制明顯；整體偏拘束型。
ブタサンダー,master,13.3,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面長條/滑條比例高，TAP 被牽制干擾明顯；主要看手順與視認穩定。
ゆりかご,master,13.3,拘束配置,"視認難,混合節奏,局部難",片手處理,中,低 BPM 下長條/滑條牽制與局部 TAP 配置明顯；主要看視認與手順整理。
優勝Princess♡,master,13.3,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條與 TAP 交錯，局部手順較容易卡；主要看配置整理。
Charlatan,master,13.3,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條與 TAP 交錯多，局部配置需要整理手順；不是單純物量譜。
なんかノイズにきこえる,master,13.3,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面牽制配置比例高，TAP 常被長條/滑條干擾；手順穩定是核心。
フィクサー,master,13.3,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與 TAP 交錯多，低中速下視認與手順整理明顯；不是純物量。
2DVenture,master,13.3,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面 BPM 210 下有高速階段與局部快速段；16分候選估算 JUSTICE 重疊可用，餡蜜可輔助局部穩定。
WARNING!,master,13.3,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面滑條/長條與 TAP 交錯多，局部配置需要整理手順；主要看視認與牽制處理。
高気圧ねこロック,master,13.3,高速處理,"局部難,拘束配置,混合節奏",餡蜜可用,中,圖面 BPM 260 下局部高速配置明顯；候選段估算 JUSTICE 重疊充足，可用餡蜜輔助推分。
La Flesvelka,master,13.3,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面低中速長條/滑條牽制明顯，TAP 需要在牽制中整理；手順穩定是主軸。
L'épilogue,master,13.3,標準,"混合節奏,拘束配置,視認難",,中,圖面偏綜合配置，長條/滑條與 TAP 混合但沒有單一極端殺點；重點是穩定讀譜。
"NYAN-NYA, More! ラブシャイン、Chu♥",master,13.3,標準,"混合節奏,拘束配置,全體難",,中高,定數空白；圖面偏綜合配置，牽制與處理量都有但核心技巧不算單一，建議人工確認定數。
ラブって♥ジュエリー♪,master,13.3,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中高,定數空白；BPM 238 下高速配置與處理量明顯，候選段估算可用餡蜜輔助，建議人工確認定數。
Make Up Your World,master,13.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中高,定數空白；圖面整體密度高，BPM 180 下中高速配置持續，建議人工確認定數。
トウキョウ・シャンディ・ランデヴ,master,13.3,標準,"混合節奏,拘束配置,局部難",,中高,定數空白；圖面偏綜合配置，牽制與局部變化都有，建議人工確認定數。
D✪N'T ST✪P R✪CKIN' ~[✪_✪] MIX~,master,13.3,標準,"混合節奏, 拘束配置, 局部難",,中高,BPM 140、CHAIN 1618，定數空白，先判為綜合配置型。
Latent Kingdom,expert,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，CHAIN 也偏高，長條/滑條與 TAP 持續交錯；穩定度是主軸。
うたかたのせかいで,expert,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量高，後段仍有密度與牽制；推分重點是節奏穩定。
Re:End of a Dream,expert,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體處理量高，中高速配置與牽制持續；全程穩定是主軸。
Climax,expert,13.4,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體密度與配置量高，牽制與 TAP 混合持續；全程穩定是主軸。
otorii INNOVATED -[i]3-,expert,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，中高速配置與長條牽制持續；全程穩定度是主軸。
Kattobi KEIKYU Rider,expert,13.4,物量譜面,"全體難,高速處理,拘束配置","鍵盤,交互穩定",中低,圖面整體處理量高，並有明顯規律多鍵配置；分指與穩定處理是推分重點。
Qliphothgear,expert,13.4,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體配置量高，TAP、AIR、長條與滑條混合持續出現；推分重點在全程穩定與耐力。
The Music of Violent Eating,expert,13.4,局部難,"拘束配置,視認難,混合節奏",片手處理,中,圖面段落差明顯，局部長條/滑條牽制與 TAP 配置較尖；整體不是全程爆量。
jaQup,expert,13.4,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面低速感與長條/滑條牽制明顯，局部 TAP 需要整理手順。
Alexandrite,expert,13.4,標準,"混合節奏,拘束配置,視認難",,中,圖面偏綜合配置，牽制、視認與局部配置都有，但核心殺點不算單一。
eden,expert,13.4,高速處理,"局部難,拘束配置,混合節奏",餡蜜可用,中,圖面 BPM 246 下有局部快速配置，候選段計算可落入 JUSTICE 重疊；部分段落可用餡蜜輔助。
Exitium,expert,13.4,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面 BPM 260 的高速階段與局部快速段明顯，候選段計算可用餡蜜輔助穩定。
A Man In The Mirror,expert,13.4,標準,"混合節奏,拘束配置,視認難",,中,圖面偏綜合型，牽制與節奏變化都有，但沒有明顯單一技巧殺點。
Viyella's Tears,expert,13.4,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面 BPM 218 下有局部快速階段；以 16分候選估算可形成 JUSTICE 重疊，餡蜜可輔助局部穩定。
Trrricksters!!,expert,13.4,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面滑條/長條與 TAP 交錯多，局部手順與視認壓力明顯。
モ°ルモ°ル,expert,13.4,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面有多段高速階段與斜向配置，BPM 256 下若以 16分候選段估算，JUSTICE 重疊足夠，局部可用餡蜜輔助推分。
the EmpErroR,expert,13.4,高速處理,"階段,局部難,拘束配置","階段,餡蜜可用",中,圖面有 BPM 240 的高速階段與局部快速配置，16分候選段估算可落在 JUSTICE 重疊範圍；餡蜜可輔助局部穩定。
≠彡”/了→,expert,13.4,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",高,
テオ,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，BPM 185 下速度壓力與牽制並存；全程穩定是主軸。
M@GICAL☆CURE! LOVE ♥ SHOT!,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，BPM 192 下配置速度也有壓力；耐力與節奏穩定是主軸。
New World,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，中高速 TAP 與長條/滑條牽制持續；全程穩定是核心。
アナタニナルノ,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 172 下整體配置量高，牽制與 TAP 持續；穩定與耐力是主軸。
命に嫌われている,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 CHAIN 高且配置量持續，BPM 200 下速度壓力也明顯；全程穩定是主軸。
チルノおかんのさいきょう☆バイブスごはん,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 204 下整體處理量高，牽制與 TAP 配置持續；穩定與耐力是主軸。
わたしはオッセルヴァトリーチェ!,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 195 下處理量與速度壓力都高，推分重點是節奏與耐力。
カラッポ・ノンフィクション,master,13.4,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，TAP 與長條/滑條混合持續；全程穩定是主軸。
ローリンガール,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，BPM 195 下中高速 TAP 與牽制配置持續；耐力與穩定度是主軸。
Auxesia,master,13.4,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，BPM 183 下中高速 TAP 與牽制配置持續；穩定度是主軸。
Vampire,master,13.4,物量譜面,"全體難,拘束配置,高速處理",交互穩定,中低,圖面整體密度高，BPM 175 下中高速配置與牽制持續；推分重點是節奏穩定與耐力。
Wake up Dreamer,master,13.4,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面配置量偏高，長條/滑條與 TAP 混合段落持續；主要吃全程穩定。
名も無い鳥,master,13.4,物量譜面,"全體難,拘束配置,高速處理",交互穩定,中低,圖面 BPM 180 下處理量偏高，中高速 TAP 與牽制配置持續；全程穩定是核心。
魔法に照らされたアンコール,master,13.4,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面大量長條/滑條牽制，低中速下讀譜與手順整理是主要難點。
Running to the straight ver1.01,master,13.4,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面低速感與長條牽制明顯，視認與手順整理是主要壓力。
匿名M,master,13.4,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，節奏與牽制都有但不算極端；以基礎穩定為主。
全人類ノ非想天則,master,13.4,局部難,"視認難,拘束配置,混合節奏",,中,圖面局部配置與視認壓力較明顯，整體不是純物量；技巧標籤不硬加。
ジャンキーナイトタウンオーケストラ,master,13.4,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面滑條/長條牽制明顯，視認與手順整理比速度更核心。
No Life Queen [DJ Command Remix],master,13.4,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有多段滑條/長條牽制與局部 TAP 壓力，整體不是全程爆量；主要看手順與視認。
SOUL 2 DIVIDE,master,13.4,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與局部變化都有但沒有單一極端殺點；以基礎穩定與讀譜為主。
創世のコンツェルティーナ,master,13.4,標準,"混合節奏,拘束配置,視認難",,中,圖面偏綜合配置，長條/滑條與 TAP 混合但沒有單一極端殺點；主要看讀譜與穩定。
召しませ!Rock'n Roll Party,master,13.4,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面有 BPM 270 的局部高速階段與快速段；16分候選估算 JUSTICE 重疊充足，局部可用餡蜜輔助。
We Are Us,master,13.4,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與 TAP 交錯密集，手順牽制與視認整理比速度更核心。
しゅわスパ大作戦☆,master,13.4,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與局部配置都有但沒有明顯單一技巧殺點。
やらなきゃいけないことばかり,master,13.4,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面牽制配置很多，TAP 被長條/滑條干擾明顯；主要看手順與讀譜。
残響,master,13.4,標準,"混合節奏,拘束配置,視認難",,中,圖面偏綜合配置，長條/滑條視認與局部配置都有，但核心殺點不算單一。
Lover's Trick,master,13.4,拘束配置,"視認難,混合節奏,局部難",片手處理,中,低中速下長條/滑條與 TAP 交錯很多，視認與手順牽制是主要壓力。
The Pursuit of Speed,master,13.4,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面低中速視認與長條/滑條牽制明顯，手順整理比單純速度更核心。
Doll Judgment,master,13.4,高速處理,"全體難,局部難,拘束配置",餡蜜可用,中,圖面 BPM 230 下局部高速配置明顯；16分候選估算 JUSTICE 重疊充足，可用餡蜜輔助部分段落。
ドーナツホール,master,13.4,高速處理,"局部難,拘束配置,混合節奏",餡蜜可用,中,圖面 BPM 252 下局部高速配置明顯；候選段估算 JUSTICE 重疊充足，局部可用餡蜜輔助。
セハガガガンバッちゃう!!,master,13.4,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 202 下中高速配置壓力明顯，並穿插長條/滑條牽制；節奏穩定是核心。
六兆年と一夜物語,master,13.4,高速處理,"局部難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 186 下中高速配置壓力明顯，整體 CHAIN 不算特別高；重點在局部速度與節奏穩定。
舞高最強ドリームセッション!!!!!,master,13.4,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中高,定數空白；圖面整體配置量與 CHAIN 偏高，TAP、長條/滑條與 AIR 混合持續，建議人工確認定數。
《散華》~ EMBARK,master,13.4,物量譜面,"全體難, 拘束配置, 混合節奏",,中高,BPM 170、CHAIN 2168，CHAIN 高，定數空白，先判為綜合物量。
"Ruler Count, Zero",master,13.4,標準,"混合節奏,拘束配置,局部難",,中高,定數空白；圖面偏綜合配置，有局部牽制與視認壓力，建議人工確認定數。
Seyana.,master,13.4,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中高,定數空白；圖面整體配置量偏高，TAP 與牽制配置連續出現，建議人工確認定數。
Beenden,expert,13.5,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體處理量高，TAP 與長條/滑條配置連續出現；速度不算唯一核心，但穩定度要求高。
Stardust:RAY,expert,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，TAP 與長條/滑條混合持續；主要看穩定與耐力。
Superbia,expert,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 混合持續；全程穩定是主軸。
SUPER AMBULANCE,expert,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，長條/滑條與 TAP 持續交錯；穩定與耐力是核心。
電光石火,expert,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，TAP 與長條/滑條混合持續；推分看穩定。
Lips XTC -Sorist Remix-,expert,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面整體量不高，但長條/滑條牽制與 TAP 交錯明顯；主要看手順與視認整理。
Kaleidoscope,expert,13.5,拘束配置,"視認難,混合節奏,局部難",擦り可用,中,圖面有滑條、重疊感與局部小配置，正攻可行但擦り能輔助穩定；主要看視認與手順。
VALLIS-NERIA,expert,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合，局部有牽制與配置變化，但沒有特別單一的技巧殺點。
TEmPTaTiON,expert,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，局部有牽制與節奏變化，但沒有明顯單一技巧殺點。
Valsqotch,expert,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面低速與長條/滑條視認壓力明顯，局部 TAP 需要整理手順。
MEGALOVANIA,expert,13.5,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 高且連續 TAP 壓力明顯；推分重點在節奏與速度穩定。
小悪魔の遊園地,expert,13.5,局部難,"視認難,拘束配置,混合節奏",,中,圖面整體量不高，但局部視認與手順判斷較明顯；技巧標籤不硬加。
G e n g a o z o,expert,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有長條/滑條牽制與局部 TAP 配置，手順整理比速度更核心。
閃鋼のブリューナク,expert,13.5,局部難,"視認難,拘束配置,混合節奏",,中,圖面段落差明顯，局部配置與視認判斷較重要；技巧標籤不硬加。
一旦ステイ TONIGHT,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體長，CHAIN 高，TAP 與長條/滑條混合持續；主要看穩定與耐力。
お空のニュークリアフュージョン道場,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面處理量偏高，長條/滑條與 TAP 混合持續；後段仍有壓力。
夢と希望,master,13.5,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體長且處理量偏高，長條/滑條與 TAP 交錯持續；全程穩定是主軸。
最愛人生ランナー,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，CHAIN 也偏高，長條與 TAP 混合持續；推分看耐力與穩定。
Here the Our MIRAI!,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP、長條與滑條持續交錯；推分看穩定。
ずんだパーリナイ,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高且段落長，長條與 TAP 持續交錯；穩定與耐力是主軸。
まにまに,master,13.5,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體處理量高，長條/滑條與 TAP 混合持續；後段仍有壓力。
夜のサーカス,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，段落長且後段仍有壓力；主要吃穩定度。
One Room Sky,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，長條/滑條與 TAP 持續出現；耐力與穩定度是主軸。
とびだせ!TO THE COSMIC!!,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 混合持續；推分重點是耐力與穩定。
ドルオタ忍道!楠子ノ巻,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體長且處理量偏高，長條/滑條與 TAP 混合持續；穩定是主軸。
Papyrus,master,13.5,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體長且配置量偏高，後段仍有處理壓力；主要看耐力與穩定。
Last Moments,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 混合持續；推分看穩定。
Rendezvous,master,13.5,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體處理量高，TAP 與長條/滑條交錯持續；全程穩定是主軸。
仙酌絶唱のファンタジア,master,13.5,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 混合持續；全程穩定是主軸。
ERIS -Legend of Gaidelia-,master,13.5,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中低,圖面整體壓力持續，後段仍有長條/滑條與 TAP 配置；穩定與耐力是主軸。
PRIVATE SERVICE,master,13.5,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中低,圖面整體壓力持續，後段仍有處理量；推分重點是穩定與耐力。
Teriqma,master,13.5,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 持續交錯；推分看全程穩定。
Her Majesty,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有明顯長條/滑條牽制與局部 TAP 配置，手順整理是主要難點。
Edelied,master,13.5,拘束配置,"混合節奏,視認難,全體難",片手處理,中,圖面長條/滑條牽制比例高，TAP 與 HOLD/SLIDE 交錯多，手順與視認整理是主要難點。
Linked Tune,master,13.5,拘束配置,"全體難,混合節奏,視認難",片手處理,中,圖面長條/滑條配置很多，並與 TAP、AIR 交錯；推分重點在手順穩定，不是速度。
キスキツネ,master,13.5,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面有多段滑條與 TAP 的交錯牽制，配置量不算爆，但手順整理是主要難點。
化けの花,master,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合，局部有滑條牽制與節奏變化，但整體不算高密度或高速。
新人類,master,13.5,拘束配置,"全體難,混合節奏,視認難",片手處理,中,圖面長條/滑條牽制多，整體節奏與手順變化較多；主要看配置整理。
カオスが極まる,master,13.5,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面滑條/長條比例高，視認與手順牽制明顯；密度雖不爆但配置壓力持續。
コメクエスト,master,13.5,標準,"混合節奏,拘束配置,全體難",,中,圖面偏綜合配置，長條與 TAP 混合但殺點不極端；重點是穩定度。
Catch Me If You Can,master,13.5,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面局部長條牽制與 TAP 交錯明顯，手順整理比物量更核心。
D-Birth,master,13.5,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條視認與手順牽制明顯，整體是拘束型綜合譜。
lucky omen,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條牽制與 TAP 混合多，重點在手順與視認。
ラブカ?,master,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合，牽制與局部配置都有但不是核心尖峰。
One with One (Eden ver.),master,13.5,標準,"混合節奏,拘束配置,全體難",,中,圖面配置平均，長條/滑條與 TAP 都有但不極端；主要考驗基礎穩定。
無間嫉妬劇場『666』,master,13.5,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制分布廣，TAP 需要在牽制中穩定處理；主要看手順。
絶対トキメキデリバリー,master,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與節奏變化都有但不算核心殺點。
《最愛》 ~ Curse,master,13.5,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 157、CHAIN 1497，偏綜合型，節奏、配置與基礎處理都要顧。
ライトスピード・デイズ,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條與 TAP 交錯較多，局部手順容易卡；不是單純速度或物量。
The Darkness of Valhalla,master,13.5,局部難,"拘束配置,視認難,混合節奏",片手處理,中,圖面整體不算爆量，但局部牽制與配置變化明顯；主要看手順整理。
レトロマニア狂想曲,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面滑條/長條牽制與局部 TAP 配置多，主要看手順與視認。
純情-SAKURA-,master,13.5,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制持續，TAP 被牽制干擾較多；手順穩定是重點。
Burning Hearts ~炎のANGEL~,master,13.5,拘束配置,"全體難, 混合節奏, 交叉配置",,中,BPM 155、CHAIN 1982，長條/滑條牽制與整體處理量都偏明顯。
ETERNAL DRAIN,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面配置量不算爆，但長條/滑條牽制與局部 TAP 壓力明顯。
PinqPiq,master,13.5,局部難,"視認難,拘束配置,混合節奏",,中,圖面局部配置較尖，整體不是高密度主導；主要看段落判斷。
イロトリドリのメロディ,master,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與局部變化都有但殺點不算單一。
Hyperion,master,13.5,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合，牽制與局部配置都有但整體不算爆量或高速。
夜咄ディセイブ,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面配置量不算爆，但長條/滑條牽制與局部 TAP 壓力明顯。
Memories of Sun and Moon,master,13.5,標準,"混合節奏,視認難,局部難",,中,圖面配置較稀疏但有視認與段落變化；偏局部判斷型。
STAR,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有長條/滑條牽制與局部 TAP 配置，手順整理是重點。
腐れ外道とチョコレゐト,master,13.5,高速處理,"局部難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 很高，局部速度與節奏反應是主要壓力；整體不是單純物量。
010,master,13.5,物量譜面,"全體難,拘束配置,高速處理",交互穩定,中高,定數空白；圖面整體處理量高，長條/滑條與 TAP 持續交錯，建議人工確認歌曲資訊與定數。
失礼しますが、RIP♡,master,13.5,拘束配置,"視認難,混合節奏,局部難",片手處理,中高,定數空白；圖面長條/滑條牽制明顯，配置量不算爆，主要看手順與視認，建議人工確認定數。
ODDS&ENDS,ultima,13.5,物量譜面,"全體難, 拘束配置, 最後不能鬆懈",,中低,BPM 192、CHAIN 2478，CHAIN 很高，整體持續壓力與密度是主軸。
JET,ultima,13.5,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 164、CHAIN 2030，整體密度偏高，長條滑條與 TAP 混合壓力明顯。
Invitation,ultima,13.5,拘束配置,"交叉配置, 混合節奏, 局部難",,中,BPM 147、CHAIN 1517，整體不是純物量，長條滑條與左右配置牽制較明顯。
物凄い勢いでけーねが物凄いうた,ultima,13.5,標準,"局部難, 拘束配置, 視認難",,中,BPM 180、CHAIN 1609，譜面變化與配置段落較明顯，不像純物量。
hyperreality,expert,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高且持續，BPM 也有速度壓力；推分重點是中高速穩定處理。
Aiolos,expert,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，中高速 TAP 與長條牽制持續；穩定度是主軸。
sølips,expert,13.6,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中低,圖面整體密度高，後段仍有處理壓力；主要吃耐力與穩定。
AstrøNotes.,expert,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量偏高，BPM 與配置密度都有壓力；穩定度是主軸。
GIGA DRIVE,expert,13.6,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 混合持續；穩定度是核心。
Marigold,expert,13.6,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條、滑條與 TAP 混合持續，手順牽制比速度或物量更核心。
黎命に殉ず,expert,13.6,局部難,"拘束配置,視認難,混合節奏",,中,圖面有局部牽制與視認壓力，但技巧殺點不算單一；以段落判斷與穩定為主。
ΩΩPARTS,expert,13.6,高速處理,"全體難,拘束配置,階段",階段,中,圖面有明顯中高速階段與連續配置，長條牽制輔助增加手順壓力；速度反應是核心。
Viyella's Scream,expert,13.6,高速處理,"全體難,拘束配置,階段",階段,中,圖面高速階段與連續 TAP 壓力明顯；推分重點是速度反應與階段穩定。
Everlasting Liberty,expert,13.6,局部難,"拘束配置,視認難,混合節奏",擦り可用,中,圖面有局部小配置、滑條與視認壓力，部分配置用擦り可提高穩定。
初音天地開闢神話,expert,13.6,高速處理,"局部難,拘束配置,混合節奏",餡蜜可用,中,圖面高 BPM 局部配置壓力明顯，部分段落可用簡化節奏輔助推分。
Blows Up Everything,expert,13.6,高速處理,"局部難,拘束配置,階段",階段,中,圖面高 BPM 下有局部階段與快速配置，速度反應是主要壓力。
Glorious Crown,expert,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中高,定數空白；圖面整體處理量高，BPM 與配置速度也有壓力，建議人工確認定數。
Aether Wind,master,13.6,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體配置量偏高，長條與 TAP 交錯持續，推分重點是穩定處理與後段集中力。
ジナ,master,13.6,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體密度與 CHAIN 偏高，TAP、長條、滑條連續出現；穩定處理與後半耐力是主軸。
彩りキャンバス,master,13.6,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體長且配置量高，長條/滑條與 TAP 持續交錯；全程穩定與耐力是主軸。
オーバーライド,master,13.6,物量譜面,"全體難,拘束配置,高速處理",交互穩定,中低,圖面整體處理量高，BPM 與配置速度也有壓力；推分重點是穩定處理。
チュルリラ・チュルリラ・ダッダッダ!,master,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量高，BPM 高且中高速配置多；推分重點是節奏穩定。
デスパレイト,master,13.6,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體密度偏高，連續 TAP 與滑條牽制並存；穩定度是主軸。
Love Cheat!,master,13.6,物量譜面,"全體難,拘束配置,高速處理",交互穩定,中低,圖面整體密度高，TAP 與長條/滑條交錯多，BPM 也使反應壓力提高。
Super Kitsch Mode,master,13.6,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 混合持續；推分重點是穩定度。
ロストワードクロニカル,master,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度與速度壓力都偏高，後段仍有配置壓力；主要看穩定。
